Designator,Footprint,Quantity,Value,LCSC Part #
A1,Electrosmith_Daisy_Seed,1,Electrosmith_Daisy_Seed_Rev4,
"C1, C10, C11, C12, C15, C16, C4, C5, C9",C_Disc_D6.0mm_W2.5mm_P5.00mm,9,10UF,
"C13, C14, C2, C3, C7, C8",C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,6,100NF,
C17,C_Disc_D6.0mm_W2.5mm_P5.00mm,1,100NF,
C6,CP_Radial_D4.0mm_P2.00mm,1,22UF,
D1,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N5817,
D2,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
FS1,PinHeader_1x02_P2.54mm_Vertical,1,Foot_Switch_1,
FS2,PinHeader_1x02_P2.54mm_Vertical,1,Foot_Switch_2,
J1,Generic_PowerJack,1,Barrel_Jack,
J2,NEUTRIK_NMJ6HCD2,1,AUDIO_IN_TRS,
J3,NEUTRIK_NMJ6HCD2,1,AUDIO_OUT_TRS,
J4,TRRS-PJ-320A,1,MIDI IN JACK,
J5,TRRS-PJ-320A,1,MIDI OUT JACK,
L1,L_Radial_D7.0mm_P3.00mm,1,2.2uH,
LED1,PinHeader_1x02_P2.54mm_Vertical,1,LED_1,
LED2,PinHeader_1x02_P2.54mm_Vertical,1,LED_2,
"POT1, POT2, POT3, POT4",Pot_RightAngle_LongPin_16mm,4,10K,
"R1, R10, R13, R14, R2, R4, R5, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10,2M,
"R11, R12",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,100R,
R15,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,220R,
R16,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,33R,
R17,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10R,
R18,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,470R,
"R19, R20",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,1K,
R21,0805,1,DNP,
"R3, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,100K,
U1,TO-92_Inline_Wide,1,L4931CZ50,
U2,CONV_PDS1-S5-S5-D,1,PDS1-S5-S5-D,
U3,DIP-14_W7.62mm,1,MCP6004,
U4,DIP-8_W7.62mm,1,OPA2134,
U5,DIP-6_W7.62mm,1,H11L1,
