Designator,Mid X,Mid Y,Rotation,Layer
A1,107.0,-56.0,0.0,top
C1,84.0,-42.75,90.0,top
C10,131.0,-110.5,270.0,top
C11,93.1,-110.5,90.0,top
C12,89.8,-110.5,90.0,top
C13,111.25,-129.8,0.0,top
C14,102.75,-129.8,180.0,top
C15,96.4,-110.5,90.0,top
C16,83.4,-110.5,90.0,top
C17,126.0,-55.8,0.0,top
C2,93.5,-48.5,0.0,top
C3,85.5,-48.5,180.0,top
C4,86.25,-63.5,180.0,top
C5,86.25,-67.0,180.0,top
C6,94.75,-79.5274,90.0,top
C7,113.75,-122.5,270.0,top
C8,117.5,-122.5,270.0,top
C9,124.5,-110.5,270.0,top
D1,92.56,-45.25,0.0,top
D2,126.01,-44.4,0.0,top
FS1,119.275,-130.0,90.0,top
FS2,94.775,-130.0,90.0,top
J1,91.75,-35.875,270.0,top
J2,120.835,-96.255,0.0,top
J3,93.165,-96.745,180.0,top
J4,120.0,-35.3625,0.0,top
J5,107.0,-35.3625,0.0,top
L1,93.75,-65.25,270.0,top
LED1,107.025,-103.5,90.0,top
LED2,107.0,-89.5,90.0,top
POT1,89.0,-49.125,0.0,top
POT2,125.0,-49.125,0.0,top
POT3,89.0,-74.125,0.0,top
POT4,125.0,-74.125,0.0,top
R1,121.25,-111.81,270.0,top
R10,86.6,-122.55,90.0,top
R11,99.5,-122.55,90.0,top
R12,83.4,-122.5,90.0,top
R13,99.6,-111.81,270.0,top
R14,86.6,-111.81,270.0,top
R15,125.2,-37.61,270.0,top
R16,107.0,-45.0,0.0,top
R17,107.0,-48.2,0.0,top
R18,119.2,-49.79,90.0,top
R19,107.0,-61.0,0.0,top
R2,127.75,-111.81,270.0,top
R20,107.0,-57.75,0.0,top
R3,131.0,-122.5,270.0,top
R4,121.25,-122.44,90.0,top
R5,124.5,-122.44,90.0,top
R6,127.75,-122.44,90.0,top
R7,96.3,-122.55,270.0,top
R8,93.1,-122.56,270.0,top
R9,89.9,-122.55,90.0,top
U1,88.5,-54.0,180.0,top
U2,86.3025,-75.56,270.0,top
U3,110.375,-111.95,90.0,top
U4,106.45,-122.55,270.0,top
U5,126.0,-50.0,180.0,top
